name,desc,wod_type,baserep,seq
"""AF2"" FOR TIME: 20 Thrusters, 20 SDHP, 20 Chest To Bar, 20 Box Jumps",Time,,WGWG
"""ANK"" FOR TIME: 1 Block Run, 10 HSPU / Wall Walk, 15 Toes to Bar, 20 Clean and Jerk (115#/75#), 25 Chest to Bar Pullups, 30 Bar Facing Burpees, 35 KB Swings (70/60/40), 40 HR Pushups, 45 Situps, 50 Double Unders, 1000m Row",Time,,Chipper
"""Annie"" 50-40-30-20-10: Double Unders, Sit ups (anchored)",Time,,MG
"""Barbara"" 5 Rounds for Time: 20 Pull-ups, 30 Push-ups, 40 Sit-ups, 50 Squats",Time,,GGGG
"""BODHI ZAUFA""  FOR TIME: 250m Row, 30 Wall Ball, Rest to 4:00, 250m Row, 30 Wall Ball, 30 HR Pushups, 30 KB SDHP (90#/50#), Rest to 12:00, 250m Row, 30 Wall Ball, 30 HR Pushups, 30 KB SDHP (90#/50#), 30 KB Swings (50#/35#), 30 Push Press (115#/75#), Post total times of all 3 heats.",Time,,MWG
"""Bottom Tabata"" Pushups, Squats, Situps, Ball Slams, *All rest takes place in the active position, 1000 meter Row if 40 reps are not completed.",Reps,1,GGGG
"""Death by Ring Dips"" 1 ring dip 1st minute, 2 the 2nd, etc.",Reps,1,G
"""Death by Toes to Bar"" ",Reps,1,G
"""DT"" FOR TIME: 5 Rounds of: 12 Deadlift, 9 Hang Clean, 6 Push Jerk",Time,,WWW
"""Elizabeth"" FOR TIME: 21-15-9 Clean 135#, Ring Dips",Time,,WG
"""Fight Gone Bad""  Three rounds of:, Wall-ball, 20 pound ball, 10 ft target (Reps), Sumo deadlift high-pull, 75 pounds (Reps), Box Jump, 20"" box (Reps), Push-press, 75 pounds (Reps), Row (Calories)",Reps,1,Chipper
"""FILTHY 50"" For Time: 50 Box jump, 24 inch box, 50 Jumping pull-ups, 50 Kettlebell swings, 1 pood, Walking Lunge, 50 steps, 50 Knees to elbows, 50 Push press, 45 pounds, 50 Stiff-Leg Deadlift 45 pounds, 50 Wall ball shots, 20 pound ball, 50 Burpees, 50 Double unders, (Minus the GHD back extensions after PP on 8.09)",Time,,Chipper
"""GRACE"" FOR TIME: 30 reps Clean and Jerk 135#, 30 reps",Time,,W
"""GWEN"" 3 Rounds of 15-12-9 Clean and Jerk (Max Weight)",Weight,1,W
"""Helen"" FOR TIME: 3 Rounds Run 400 meters, 1.5 pood Kettlebell X 21 swings  (50# / 30#), 12 Pull-ups",Time,,MWG
"""Helen's Sister"" 3 rounds FOR TIME: Run 400 meters, 1.5 pood Kettlebell X 21 swings  (50# / 35#), 18 Burpees",Time,,MWG
"""Hope"" Three rounds of:, Burpees, Power Snatch (75#), Box Jump (24""), Thrusters (75#), Chest to Bar Pullups",Reps,1,Chipper
"""ISABEL"" FOR TIME: 30 reps 135# Snatch ",Time,,W
"""Jackie"" FOR TIME: 1000 meter Row, 50 Thrusters (45# / 25#), 30 Pull-ups",Time,,MWG
"""Karabel"" For Time: 10 Rounds 3 Hang Snatch (135#/95#), 15 Wall Ball",Time,,WW
"""MORRISON"" FOR TIME: 50-40-30-20-10 Wall Ball, Box Jump (24""/18""), KB Swings (50#/35#)",Time,,WGW
